Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro
"Gdańsk Orunia Górna, Uranowa",949 000 zł,10870 zł/m2,87.3,4,parter
"Gdańsk Przymorze, Chłopska",679 000 zł,12574 zł/m2,54,3,parter
"Gdańsk Siedlce, Lecha Bądkowskiego",665 000 zł,9097 zł/m2,73.1,3,1
"Sopot Dolny Sopot, Niepodległości",599 000 zł,12479 zł/m2,48,3,parter
"Gdańsk Siedlce, Powstańców Warszawskich",998 000 zł,14497 zł/m2,68.84,2,parter
"Gdańsk Osowa, Victorii",650 000 zł,11403 zł/m2,57,1,parter
"Gdańsk Jelitkowo, Wypoczynkowa",1 090 000 zł,29223 zł/m2,37.3,2,9
"Gdańsk Nowy Port, Na Zaspę 45B",319 000 zł,11392 zł/m2,28,2,4
"Gdynia Witomino, Konwaliowa",439 000 zł,12436 zł/m2,35.3,4,parter
Gdańsk Stogi,390 000 zł,9154 zł/m2,42.6,3,1
"Gdynia Oksywie, Australijska",1 100 000 zł,13232 zł/m2,83.13,2,3
"Sopot Kamienny Potok, Józefa Kraszewskiego",763 000 zł,14451 zł/m2,52.8,3,parter
"Gdańsk Przymorze, Chłopska",469 000 zł,10422 zł/m2,45,2,1
"Gdańsk Ujeścisko, Zielony Stok",669 000 zł,12528 zł/m2,53.4,3,4
"Gdańsk Jasień, Potęgowska",587 000 zł,11398 zł/m2,51.5,3,3
"Gdynia Wzgórze św. Maksymiliana, Batalionów Chłopskich",1 150 000 zł,13590 zł/m2,84.62,4,parter
"Gdynia Wzgórze św. Maksymiliana, Mikołaja Reja",897 000 zł,11361 zł/m2,78.95,2,parter
"Gdynia Oksywie, Stefana Czarnieckiego",857 000 zł,8741 zł/m2,98.04,2,2
"Gdynia Wzgórze św. Maksymiliana, Bp. Dominika",469 700 zł,10000 zł/m2,46.97,2,parter
Gdynia Działki Leśne,659 000 zł,12329 zł/m2,53.45,3,3
"Gdańsk Żabianka, Wejhera",620 000 zł,14761 zł/m2,42,1,2
"Gdańsk Śródmieście, Elbląska",535 000 zł,10094 zł/m2,53,2,parter
"Gdańsk Wrzeszcz, Augusta",380 000 zł,9500 zł/m2,40,2,parter
"Gdańsk Łostowice, Pastelowa",459 000 zł,11922 zł/m2,38.5,3,5
"Sopot Dolny Sopot, Bohaterów Monte Cassino",719 000 zł,21927 zł/m2,32.79,3,parter
Gdynia Działki Leśne,895 000 zł,16886 zł/m2,53,2,parter
"Gdynia Redłowo, Okrętowa",1 799 000 zł,14697 zł/m2,122.4,3,3
"Gdynia Witomino, Widna",339 000 zł,9377 zł/m2,36.15,3,1
"Gdynia Śródmieście, Starowiejska",798 000 zł,15000 zł/m2,53.2,2,1
Gdańsk Maćkowy,550 000 zł,7759 zł/m2,70.88,3,1
"Gdynia Wiczlino, Filipkowskiego",510 000 zł,10200 zł/m2,50,1,2
"Gdańsk Chełm, Prof. Romualda Cebertowicza",529 000 zł,8343 zł/m2,63.4,3,1
"Gdańsk Przymorze, Opolska",365 000 zł,13518 zł/m2,27,3,4
"Gdańsk Przymorze, Śląska",1 140 000 zł,17644 zł/m2,64.61,2,parter
"Gdańsk Ujeścisko, Radomska",599 000 zł,9215 zł/m2,65,3,parter
"Gdynia Śródmieście, Władysława Iv",490 000 zł,14939 zł/m2,32.8,3,9
"Gdańsk Morena, Królewskie Wzgórze",864 000 zł,11668 zł/m2,74.05,3,2
"Gdańsk Siedlce, Jacka Malczewskiego",990 000 zł,15727 zł/m2,62.95,3,1
"Gdańsk Ujeścisko, Przemyska",799 000 zł,9864 zł/m2,81,3,parter
"Gdańsk Jasień, Alfonsa Flisykowskiego",640 000 zł,11116 zł/m2,57.57,3,2
"Gdynia Cisowa, Kcyńska",449 000 zł,9733 zł/m2,46.13,3,3
"Gdańsk Przymorze, Kołobrzeska",639 000 zł,11534 zł/m2,55.4,3,3
Gdańsk Pomorska,673 000 zł,10682 zł/m2,63,2,1
"Gdynia Wiczlino, Gen. Mariusza Zaruskiego",679 000 zł,10288 zł/m2,66,2,parter
"Gdańsk Łostowice, Niepołomicka",369 000 zł,9814 zł/m2,37.6,2,3
"Gdańsk Siedlce, Sowińskiego",588 000 zł,7967 zł/m2,73.8,4,parter
"Gdańsk Kiełpinek, Prof. Mariana Osińskiego",399 000 zł,11049 zł/m2,36.11,1,2
"Gdańsk Wrzeszcz, Szymanowskiego 12",1 190 000 zł,20081 zł/m2,59.26,2,4
"Sopot Górny Sopot, Armii Krajowej",529 000 zł,16030 zł/m2,33,2,2
"Gdańsk Przymorze, Jagiellońska",460 000 zł,10697 zł/m2,43,2,1
"Gdańsk Sobieszewo, Łąkowa",1 090 000 zł,26494 zł/m2,41.14,3,parter
"Gdańsk Wrzeszcz, Sochaczewska",465 000 zł,10520 zł/m2,44.2,2,2
"Gdynia Leszczynki, Jana Dantyszka",429 000 zł,8151 zł/m2,52.63,2,3
"Gdańsk Żabianka, Orłowska",549 000 zł,16006 zł/m2,34.3,1,1
"Sopot Kamienny Potok, Mazowiecka",589 000 zł,12169 zł/m2,48.4,2,3
"Gdańsk Kowale, Perseusza",315 000 zł,9002 zł/m2,34.99,3,3
"Gdańsk Wrzeszcz, Wajdeloty",533 000 zł,12113 zł/m2,44,2,2
"Gdańsk Ujeścisko, Nieborowska",720 000 zł,10166 zł/m2,70.82,2,2
Gdańsk Górki Zachodnie,265 000 zł,3680 zł/m2,72,3,1
"Gdynia Wzgórze św. Maksymiliana, Legionów",948 000 zł,19190 zł/m2,49.4,3,parter
"Gdańsk Chełm, Tytusa Chałubińskiego",669 000 zł,10453 zł/m2,64,3,2
"Gdańsk Młode Miasto, Wałowa",1 099 000 zł,18316 zł/m2,60,2,2
"Gdańsk Jasień, Aleksandry Gabrysiak",629 000 zł,9647 zł/m2,65.2,3,3
"Gdańsk Siedlce, Zakopiańska",475 000 zł,13971 zł/m2,34,3,4
"Gdynia Mały Kack, Strzelców",1 350 000 zł,17089 zł/m2,79,3,2
Gdańsk Kowale,480 000 zł,8276 zł/m2,58,3,3
"Gdańsk Morena, Magellana",790 000 zł,12539 zł/m2,63,2,4
Gdynia Wielki Kack,640 000 zł,6400 zł/m2,100,3,2
"Gdańsk Zaspa , Startowa",460 000 zł,9583 zł/m2,48,2,parter
"Gdynia Śródmieście, Świętojańska",743 000 zł,11793 zł/m2,63,2,2
"Gdańsk Śródmieście, Podwale Staromiejskie",767 000 zł,10802 zł/m2,71,2,parter
"Gdańsk Morena, Myśliwska",565 000 zł,10462 zł/m2,54,3,3
"Gdańsk Przymorze, Olsztyńska",575 000 zł,12777 zł/m2,45,3,parter
"Gdańsk Przymorze , Poznańska 4a",660 000 zł,10476 zł/m2,63,4,parter
"Gdańsk Wrzeszcz, Partyzantów",499 000 zł,8618 zł/m2,57.9,4,1
"Gdynia Orłowo, Orłowska",2 100 000 zł,16535 zł/m2,127,3,1
"Gdańsk Jasień, Potęgowska",610 000 zł,8604 zł/m2,70.89,2,1
"Gdynia Działki Leśne, Szczecińska",540 000 zł,10778 zł/m2,50.1,3,1
"Gdynia Karwiny, Buraczana",340 000 zł,9374 zł/m2,36.27,1,2
Gdańsk Jasień,508 000 zł,8837 zł/m2,57.48,2,4
Gdańsk Jasień,313 000 zł,10646 zł/m2,29.4,3,parter
Gdańsk Jasień,370 000 zł,9472 zł/m2,39.06,2,3
Gdańsk Orunia,593 000 zł,8366 zł/m2,70.88,3,10
"Gdynia Pustki Cisowskie, Modrzewiowa",479 000 zł,10237 zł/m2,46.79,2,parter
"Gdynia Karwiny, Iwaszkiewicza",585 000 zł,9848 zł/m2,59.4,2,1
"Gdynia Orłowo, Króla Jana Iii",5 880 000 zł,57988 zł/m2,101.4,3,1
"Gdańsk Siedlce, Powstańców Warszawskich",670 000 zł,15261 zł/m2,43.9,2,1
"Gdańsk Zaspa, Jana Pawła Ii",1 454 600 zł,20000 zł/m2,72.73,1,5
"Gdańsk Zakoniczyn, Stanisława Dąbka",348 000 zł,9971 zł/m2,34.9,1,parter
"Gdańsk Przymorze, Śląska",555 000 zł,21578 zł/m2,25.72,1,1
"Gdańsk Przymorze, Śląska",555 000 zł,21578 zł/m2,25.72,3,4
"Gdańsk Przymorze, Śląska",555 000 zł,21578 zł/m2,25.72,2,4
"Gdynia Wzgórze św. Maksymiliana, Bp. Dominika",599 000 zł,11519 zł/m2,52,4,4
"Gdańsk Młyniska, Marynarki Polskiej",439 000 zł,12911 zł/m2,34,3,parter
"Gdynia Oksywie, Nasypowa",759 000 zł,12767 zł/m2,59.45,2,5
"Sopot Dolny, 3 Maja",1 010 000 zł,18198 zł/m2,55.5,2,8
"Gdańsk Stogi, Wrzosy",389 000 zł,10236 zł/m2,38,4,3
"Gdynia, Szczecińska",485 000 zł,11279 zł/m2,43,3,2
"Gdynia Mały Kack, Strzelców",1 250 000 zł,12729 zł/m2,98.2,3,2
"Gdańsk Morena, Piecewska",950 000 zł,13380 zł/m2,71,2,7
"Gdańsk Morena, Stanisława Lema",790 000 zł,12908 zł/m2,61.2,4,3
Gdańsk Brzeźno,560 000 zł,13333 zł/m2,42,6,1
"Gdańsk Łostowice, Olimpijska",847 000 zł,6994 zł/m2,121.1,3,6
"Gdańsk Łostowice, Olimpijska",847 000 zł,6994 zł/m2,121.1,2,2
"Gdańsk Morena, Stanisława Lema",725 000 zł,13674 zł/m2,53.02,1,8
"Gdynia Grabówek, Morska",350 000 zł,11228 zł/m2,31.17,4,3
Gdańsk Przymorze,369 000 zł,13666 zł/m2,27,2,1
"Gdańsk Przymorze, Szczecińska",1 199 000 zł,15987 zł/m2,75,2,3
"Gdańsk Wrzeszcz, Sochaczewska",465 000 zł,10520 zł/m2,44.2,3,1
"Gdynia Witomino, Polskiego Czerwonego Krzyża",475 000 zł,11964 zł/m2,39.7,3,4
"Gdynia Wiczlino, Gen. Mariusza Zaruskiego",860 000 zł,11467 zł/m2,75,3,3
"Gdańsk Siedlce, Seweryna Goszczyńskiego",925 000 zł,12834 zł/m2,72.07,1,2
"Gdańsk Karczemki, Kartuska",510 000 zł,8121 zł/m2,62.8,3,1
"Gdańsk Łostowice, Wielkopolska 40",315 000 zł,12377 zł/m2,25.45,3,4
"Gdynia Śródmieście, 3 Maja",1 322 000 zł,13996 zł/m2,94.45,2,3
"Gdynia Karwiny, Kruczkowskiego Leona",519 000 zł,7688 zł/m2,67.5,2,3
"Gdynia Wiczlino, Władysława Wagnera",589 000 zł,13698 zł/m2,43,2,2
"Gdynia Grabówek, Morska",349 000 zł,9432 zł/m2,37,2,1
"Gdynia Wzgórze św. Maksymiliana, Świętojańska",560 000 zł,12173 zł/m2,46,3,1
"Gdańsk Śródmieście, Warzywnicza",640 000 zł,22535 zł/m2,28.4,2,10
"Gdańsk maćkowy, Kazimierza Wielkiego",529 000 zł,11020 zł/m2,48,3,8
"Gdynia Leszczynki, Stefana Ramułta",399 000 zł,8630 zł/m2,46.23,2,2
"Gdańsk Brzeźno, Nadmorski Dwór",1 550 000 zł,26094 zł/m2,59.4,3,1
"Gdańsk Śródmieście, Rajska",695 000 zł,13044 zł/m2,53.28,3,1
"Gdańsk Letnica, Starowiejska",1 100 000 zł,18966 zł/m2,58,3,parter
"Gdynia Cisowa, Owsiana",424 000 zł,7954 zł/m2,53.3,3,4
"Gdynia Chwarzno, Władysława Wagnera",789 900 zł,11789 zł/m2,67,2,1
"Gdańsk Siedlce, Jacka Malczewskiego",579 000 zł,11913 zł/m2,48.6,4,3
"Gdańsk Łostowice, Niepołomicka",439 000 zł,11864 zł/m2,37,1,1
"Sopot Wyścigi / Karlikowo, Gen. Ludwika Mierosławskiego",1 590 000 zł,23555 zł/m2,67.5,4,1
"Gdańsk Przymorze, Tysiąclecia",429 000 zł,18652 zł/m2,23,3,2
Gdynia Wzgórze św. Maksymiliana,795 000 zł,10236 zł/m2,77.66,2,parter
"Gdańsk Wrzeszcz, Grunwaldzka",650 000 zł,8928 zł/m2,72.8,2,parter
Gdańsk Przymorze,599 000 zł,11814 zł/m2,50.7,2,3
Gdańsk Śródmieście,650 000 zł,21666 zł/m2,30,3,2
"Gdańsk Osowa, Homera",528 000 zł,11234 zł/m2,47,3,parter
"Gdynia Działki Leśne, Szczecińska",540 000 zł,10756 zł/m2,50.2,2,parter
Gdańsk Wrzeszcz,859 000 zł,11930 zł/m2,72,3,parter
"Gdańsk Wrzeszcz, Jana Matejki",699 000 zł,11650 zł/m2,60,3,5
"Gdańsk Stare Przedmieście, Toruńska",629 000 zł,9677 zł/m2,65,5,3
"Gdańsk Przymorze, Piastowska",945 000 zł,14929 zł/m2,63.3,4,2
"Gdańsk Przymorze, Poznańska",1 499 000 zł,14990 zł/m2,100,5,5
"Gdańsk Sobieszewo, Nadwiślańska",890 000 zł,6506 zł/m2,136.78,2,3
"Gdynia Grabówek, Bronisława Dembińskiego",1 799 000 zł,18546 zł/m2,97,2,3
"Gdynia Redłowo, Legionów",948 000 zł,19190 zł/m2,49.4,2,parter
Gdańsk Stogi,479 000 zł,10128 zł/m2,47.29,2,1
"Gdańsk Żabianka, Gospody",465 000 zł,13323 zł/m2,34.9,3,parter
"Gdynia Obłuże / Oksywie, Błękitna",399 000 zł,12090 zł/m2,33,3,1
"Gdynia Obłuże, Konstantego Maciejewicza",399 000 zł,6562 zł/m2,60.8,5,1
"Gdynia Pogórze, Kmdr. Bolesława Romanowskiego",350 000 zł,6293 zł/m2,55.61,3,parter
"Gdynia Oksywie, Bosmańska",999 000 zł,10912 zł/m2,91.55,5,5
"Gdynia Wielki Kack, Szefki Waleriana",999 000 zł,11878 zł/m2,84.1,2,3
"Gdańsk Oliwa, Kasprowicza",1 895 000 zł,15835 zł/m2,119.67,3,parter
"Gdynia Śródmieście, Abrahama",561 000 zł,17000 zł/m2,33,3,5
"Gdańsk Ujeścisko, Anny Jagiellonki",769 900 zł,11736 zł/m2,65.6,3,parter
"Gdańsk Siedlce, Szara 9",690 000 zł,12454 zł/m2,55.4,1,4
"Gdańsk Suchanino, Powstańców Warszawskich",499 000 zł,9415 zł/m2,53,3,10
"Gdańsk Łostowice, Jagiełły",267 950 zł,9294 zł/m2,28.83,3,parter
"Gdynia Wzgórze św. Maksymiliana, Partyzantów",799 000 zł,16440 zł/m2,48.6,3,1
"Gdańsk Przymorze, Śląska",550 000 zł,11000 zł/m2,50,3,2
"Gdańsk Wrzeszcz, Joachima Lelewela",1 332 000 zł,18500 zł/m2,72,2,9
"Gdańsk Wrzeszcz, Partyzantów",1 330 000 zł,18219 zł/m2,73,3,1
"Sopot Dolny Sopot, Lipowa",549 000 zł,10958 zł/m2,50.1,2,1
"Gdańsk Oliwa, Stanisława Witkiewicza",1 649 000 zł,17731 zł/m2,93,3,1
"Gdańsk Długie Ogrody, Angielska Grobla",999 000 zł,21210 zł/m2,47.1,2,5
"Gdańsk Wrzeszcz, Juliusza Słowackiego",969 999 zł,13837 zł/m2,70.1,3,3
Gdynia Chylonia,309 000 zł,7725 zł/m2,40,3,2
"Gdańsk Śródmieście, Ogarna",899 900 zł,14352 zł/m2,62.7,3,9
"Gdańsk Chełm, Jana Styp-rekowskiego",519 000 zł,11043 zł/m2,47,2,3
"Gdańsk Morena, Myśliwska",749 000 zł,11889 zł/m2,63,2,parter
"Gdańsk Żabianka , Jakuba Wejhera",499 000 zł,15593 zł/m2,32,1,4
"Gdańsk Długie Ogrody, Siennicka",519 000 zł,9436 zł/m2,55,2,parter
"Gdańsk Siedlce, Jacka Malczewskiego",370 000 zł,11935 zł/m2,31,2,4
"Gdańsk Wrzeszcz, Jesionowa",489 000 zł,12506 zł/m2,39.1,2,3
"Gdańsk Orunia, Stefana Ramułta",644 000 zł,10062 zł/m2,64,3,8
"Gdańsk Brzeźno, Gdańska",529 900 zł,12617 zł/m2,42,2,3
"Gdańsk Chełm, Stanisława Hebanowskiego",669 000 zł,10619 zł/m2,63,2,3
"Gdańsk Łostowice, Niepołomicka",359 000 zł,10039 zł/m2,35.76,2,3
"Gdańsk Wrzeszcz, Aldony",599 999 zł,12500 zł/m2,48,3,2
"Gdańsk Brzeźno, Gdańska",878 000 zł,15485 zł/m2,56.7,3,1
"Gdynia Grabówek, Kmdr. Przybyszewskiego",499 000 zł,9633 zł/m2,51.8,2,4
Gdynia Obłuże,499 000 zł,10395 zł/m2,48,3,3
"Sopot Dolny Sopot, Józefa Czyżewskiego",1 439 999 zł,19329 zł/m2,74.5,2,1
"Gdańsk Zaspa, Pilotów",1 029 999 zł,13205 zł/m2,78,4,1
"Gdańsk Łostowice, Niepołomicka",419 000 zł,10713 zł/m2,39.11,6,6
"Gdańsk Wrzeszcz, Joachima Lelewela",1 332 000 zł,18500 zł/m2,72,2,2
"Gdynia Dąbrowa, Miętowa",1 480 000 zł,11709 zł/m2,126.4,2,3
"Gdańsk Łostowice, Olimpijska",459 000 zł,10431 zł/m2,44,2,5
"Gdynia Leszczynki, Bronisława Dembińskiego",485 000 zł,13179 zł/m2,36.8,3,1
"Gdańsk Przymorze, Kołobrzeska",465 000 zł,9894 zł/m2,47,5,3
"Gdańsk Oliwa, Wita Stwosza",699 000 zł,9357 zł/m2,74.7,3,parter
"Gdańsk Wrzeszcz, Ludwika Waryńskiego",1 190 000 zł,9370 zł/m2,127,3,parter
"Gdańsk Ujeścisko, Wawelska",699 000 zł,10754 zł/m2,65,4,5
"Gdynia Wiczlino, Stanisława Filipkowskiego",749 000 zł,10549 zł/m2,71,2,1
"Gdańsk Morena, Królewskie Wzgórze",1 190 000 zł,11900 zł/m2,100,2,10
"Gdynia Pustki Cisowskie, Jałowcowa",429 000 zł,5168 zł/m2,83.01,1,1
"Gdynia Witomino, Polskiego Czerwonego Krzyża",375 000 zł,10623 zł/m2,35.3,4,1
Gdynia Śródmieście,360 000 zł,14400 zł/m2,25,3,1
"Sopot Dolny Sopot, Parkowa",2 700 000 zł,32104 zł/m2,84.1,6,2
"Gdańsk Przymorze, Aleja Rzeczypospolitej",1 249 000 zł,19215 zł/m2,65,3,2
"Gdańsk Długie Ogrody, Angielska Grobla",2 100 000 zł,21000 zł/m2,100,3,3
"Gdańsk Brzeźno, Konrada Korzeniowskiego",1 100 000 zł,11340 zł/m2,97,3,4
"Gdańsk Suchanino, Piotra Czajkowskiego",790 000 zł,10895 zł/m2,72.51,3,3
"Gdańsk Brzeźno, Łozy",599 000 zł,10508 zł/m2,57,2,2
"Gdynia Orłowo, Bernadowska",1 676 000 zł,29929 zł/m2,56,5,parter
"Gdańsk Brzeźno, Łozy",517 000 zł,13256 zł/m2,39,3,10
"Gdańsk Jasień, Rycerza Blizbora",759 000 zł,5794 zł/m2,131,3,5
"Gdynia Mały Kack, Kameralna",1 020 000 zł,17000 zł/m2,60,3,3
"Gdańsk Osowa, Homera",610 000 zł,10000 zł/m2,61,2,4
"Gdynia Wzgórze św. Maksymiliana, Mikołaja Reja",649 000 zł,10302 zł/m2,63,2,2
"Gdańsk Przymorze, Rzeczypospolitej",415 000 zł,10921 zł/m2,38,2,parter
"Gdańsk Siedlce, Kartuska",419 999 zł,12000 zł/m2,35,5,1
"Gdańsk Osowa, Diany",480 000 zł,11707 zł/m2,41,2,1
"Gdańsk Jasień, Rycerza Blizbora",818 900 zł,7799 zł/m2,105,3,parter
"Gdańsk Zaspa, Bolesława Chrobrego",899 000 zł,17980 zł/m2,50,2,parter
"Gdańsk Wrzeszcz, Jana Kilińskiego",620 000 zł,11923 zł/m2,52,3,4
"Gdańsk Osowa, Diany",569 000 zł,12106 zł/m2,47,2,3
"Gdańsk Osowa, Hermesa",689 000 zł,10439 zł/m2,66,3,3
"Gdańsk Suchanino, Karola Kurpińskiego",449 000 zł,10690 zł/m2,42,3,parter
"Gdańsk Ujeścisko, Piotrkowska",669 000 zł,10967 zł/m2,61,3,7
"Gdańsk Zaspa, Powstańców Wielkopolskich",1 180 000 zł,18137 zł/m2,65.06,2,6
"Gdańsk Oliwa, Józefa Czyżewskiego",565 000 zł,10463 zł/m2,54,3,2
"Gdańsk Śródmieście, Szeroka",819 900 zł,19998 zł/m2,41,1,9
"Gdańsk Ujeścisko, Nieborowska",495 000 zł,9784 zł/m2,50.59,2,1
"Gdańsk Przymorze, Obrońców Wybrzeża",359 000 zł,11967 zł/m2,30,2,parter
"Gdańsk Stare Przedmieście, Toruńska",860 000 zł,19111 zł/m2,45,2,parter
"Gdańsk Orunia, Żuławska",469 000 zł,10598 zł/m2,44.25,3,parter
"Gdańsk Morena, Zofii Nałkowskiej",489 000 zł,11643 zł/m2,42,2,3
"Gdańsk Łostowice, Niepołomicka",649 000 zł,9687 zł/m2,67,3,5
"Gdańsk Chełm, Tytusa Chałubińskiego",409 000 zł,11686 zł/m2,35,2,5
"Gdańsk Karczemki, Różany Stok",498 999 zł,7561 zł/m2,66,2,3
"Gdańsk Wrzeszcz, Jesionowa",619 454 zł,11913 zł/m2,52,3,9
"Gdańsk Siedlce, Seweryna Goszczyńskiego",529 000 zł,10173 zł/m2,52,4,parter
"Gdańsk Długie Ogrody, Szafarnia",2 300 000 zł,27381 zł/m2,84,4,1
"Gdańsk Niedźwiednik, Leśna Góra",571 000 zł,9210 zł/m2,62,4,2
"Gdańsk Zaspa, Żwirki I Wigury",780 000 zł,12580 zł/m2,62,3,parter
"Gdańsk Chełm, Wincentego Witosa",798 000 zł,9626 zł/m2,82.9,4,5
"Sopot Kamienny Potok, Tatrzańska",579 000 zł,12478 zł/m2,46.4,2,8
"Gdynia Pogórze, Barcelońska",895 000 zł,10654 zł/m2,84,3,2
"Gdynia Wzgórze św. Maksymiliana, Batalionów Chłopskich",420 000 zł,12352 zł/m2,34,1,parter
"Gdańsk Letnica, Letnicka",950 000 zł,13899 zł/m2,68.35,3,3
"Gdańsk Oliwa, Pawła Gdańca 6",480 000 zł,15483 zł/m2,31,2,3
"Gdańsk Suchanino, Ignacego Paderewskiego",649 000 zł,11564 zł/m2,56.12,6,4
"Gdynia Wiczlino, Władysława Wagnera",589 000 zł,13478 zł/m2,43.7,2,parter
"Gdańsk Wrzeszcz, Gen. De Gaulle'a",919 000 zł,9162 zł/m2,100.3,2,2
"Sopot Dolny Sopot, Grunwaldzka",1 199 000 zł,20050 zł/m2,59.8,2,1
"Gdańsk Dolne Miasto, Łąkowa",978 375 zł,12500 zł/m2,78.27,3,5
Gdynia Śródmieście,813 000 zł,13981 zł/m2,58.15,2,parter
Gdańsk Jasień,779 000 zł,7948 zł/m2,98,3,1
"Gdynia Witomino, Polskiego Czerwonego Krzyża",395 000 zł,10676 zł/m2,37,2,1
"Gdynia Cisowa, Janowska",455 000 zł,7685 zł/m2,59.2,2,5
"Gdańsk Aniołki, Śniadeckich",750 000 zł,12500 zł/m2,60,4,1
"Gdańsk Długie Ogrody, Angielska Grobla",861 000 zł,21000 zł/m2,41,2,2
"Gdańsk Długie Ogrody, Angielska Grobla",2 300 000 zł,19167 zł/m2,120,3,1
"Gdańsk Śródmieście, Panieńska",850 000 zł,17000 zł/m2,50,3,2
"Gdynia Oksywie, Stefana Czarnieckiego",780 000 zł,11747 zł/m2,66.4,3,3
"Gdynia Cisowa, Janowska",545 000 zł,9083 zł/m2,60,2,8
"Gdańsk Siedlce, Powstańców Warszawskich",1 099 000 zł,17916 zł/m2,61.34,2,1
"Gdynia Dąbrowa, Oliwkowa",539 000 zł,10365 zł/m2,52,4,parter
"Gdańsk Kokoszki, Fundamentowa",349 000 zł,8227 zł/m2,42.42,2,3
"Sopot Górny Sopot, Gen. Józefa Wybickiego",2 350 000 zł,21190 zł/m2,110.9,3,5
"Gdynia Oksywie/Obłuże, Nasypowa",406 000 zł,10928 zł/m2,37.15,2,17
"Gdańsk Kiełpinek, Szczęśliwa 40c",630 000 zł,11209 zł/m2,56.2,5,1
"Gdańsk Oliwa, Wita Stwosza",499 000 zł,14676 zł/m2,34,2,1
Gdynia Oksywie,1 020 000 zł,11086 zł/m2,92,3,2
"Gdynia Grabówek, Kapitańska",565 000 zł,11770 zł/m2,48,3,4
"Gdańsk Morena, Powstania Styczniowego",549 000 zł,8445 zł/m2,65.01,3,2
"Gdańsk Św. Wojciech, Czerska",549 000 zł,9631 zł/m2,57,3,1
"Gdańsk Morena, Stanisława Lema",790 000 zł,14469 zł/m2,54.6,3,2
"Sopot Dolny Sopot, Niepodległości",1 340 000 zł,24144 zł/m2,55.5,3,3
"Gdańsk Długie Ogrody, Długie Ogrody",834 000 zł,12636 zł/m2,66,4,1
"Sopot Górny Sopot, 23 Marca",1 680 000 zł,15000 zł/m2,112,3,2
"Gdańsk Śródmieście, Chmielna",2 800 000 zł,28000 zł/m2,100,1,parter
"Sopot Wyścigi / Karlikowo, Jana Z Kolna",2 900 000 zł,27540 zł/m2,105.3,3,3
"Gdańsk Stogi, Wilhelma Stryjewskiego",289 000 zł,11073 zł/m2,26.1,2,1
Gdańsk Morena,625 000 zł,9987 zł/m2,62.58,5,2
Gdynia Obłuże,399 000 zł,8296 zł/m2,48.09,2,2
"Gdynia Oksywie, Bosmańska",1 122 000 zł,12255 zł/m2,91.55,3,3
"Gdynia Oksywie, Nasypowa",470 000 zł,12466 zł/m2,37.7,2,4
"Gdynia Karwiny, Janiny Porazińskiej",830 000 zł,11850 zł/m2,70.04,2,4
"Gdańsk Brzeźno, Walecznych",680 000 zł,12789 zł/m2,53.17,2,2
"Gdynia Śródmieście, Armii Krajowej",620 000 zł,12916 zł/m2,48,2,2
"Gdańsk Chełm, Rogalińska 7",520 000 zł,10699 zł/m2,48.6,3,9
"Gdańsk Zaspa, Dywizjonu 303 35",699 000 zł,15533 zł/m2,45,3,15
"Gdańsk Dolny Sopot, Grunwaldzka",655 000 zł,8551 zł/m2,76.6,3,2
"Gdynia Cisowa, Szubińska",355 800 zł,6242 zł/m2,57,2,parter
"Gdańsk Ujeścisko, Nieborowska",650 000 zł,11016 zł/m2,59,2,parter
Gdańsk,450 000 zł,10089 zł/m2,44.6,1,1
"Gdańsk Oliwa, Opacka",1 568 516 zł,24131 zł/m2,65,3,1
"Sopot Górny Sopot, 23 Marca",379 000 zł,23409 zł/m2,16.19,4,parter
"Gdańsk Letnica, Sucha",1 799 000 zł,18937 zł/m2,95,3,1
"Gdańsk Oliwa, Grunwaldzka",829 000 zł,9988 zł/m2,83,1,2
"Sopot Wyścigi / Karlikowo, 3 Maja",1 199 000 zł,15545 zł/m2,77.13,3,parter
"Gdańsk Jasień, Lawendowe Wzgórze",359 000 zł,12286 zł/m2,29.22,2,4
"Gdańsk Dolne Miasto, Śluza",729 000 zł,14294 zł/m2,51,3,parter
"Gdańsk Osowa, Junony",450 000 zł,12658 zł/m2,35.55,2,3
"Gdańsk Wrzeszcz, Aldony",1 390 000 zł,15016 zł/m2,92.57,2,2
"Gdynia Orłowo, Bernadowska",1 470 000 zł,29108 zł/m2,50.5,2,3
"Gdańsk Jasień, Aleksandry Gabrysiak",450 000 zł,10090 zł/m2,44.6,2,2
"Gdańsk Jasień, Lawendowe Wzgórze",359 000 zł,12286 zł/m2,29.22,2,9
"Gdynia Działki Leśne, Szczecińska",485 000 zł,11279 zł/m2,43,3,3
"Gdańsk Karczemki, Storczykowa",440 000 zł,9778 zł/m2,45,2,2
"Gdańsk Jasień, Potęgowska",700 000 zł,8599 zł/m2,81.4,1,parter
"Gdynia Chylonia, Helska",410 000 zł,9318 zł/m2,44,2,12
"Gdańsk Młode Miasto, Wałowa",684 000 zł,23586 zł/m2,29,1,2
"Gdańsk Śródmieście, Wałowa",829 900 zł,18861 zł/m2,44,3,1
"Gdynia Chylonia, Lubawska",229 000 zł,13470 zł/m2,17,3,5
"Gdańsk Orunia, Diamentowa",460 000 zł,10222 zł/m2,45,2,8
"Gdynia Mały Kack, Wzgórze Bernadowo",1 099 000 zł,10881 zł/m2,101,2,parter
